n_ejecucion,n_agents_deseado,n_agents_created,agent_vel,X_descargaPos,Z_descargaPos,X_trailerPos,Z_trailerPos,distancia_descarga_trailer,n_basura,t_total_descarga,distancia_minima_agentes
0,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,13.500432,50.0
1,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,13.710412,60.0
2,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,13.978884,70.0
3,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,14.264364,80.0
4,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,14.425317,90.0
5,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,14.636516,100.0
6,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,14.885131,110.0
7,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,15.116298,120.0
8,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,15.324912,130.0
9,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,15.460537,140.0
10,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,15.780475,150.0
11,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,15.835062,160.0
12,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,16.08048,170.0
13,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,16.239042,180.0
14,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,16.408531,190.0
15,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,16.644098,200.0
16,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,17.122852,210.0
17,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,17.152857,220.0
18,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,17.257602,230.0
19,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,17.427544,240.0
20,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,17.715603,250.0
21,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,17.844299,260.0
22,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,18.139104,270.0
23,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,18.275201,280.0
24,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,18.56886,290.0
25,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,18.619396,300.0
26,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,18.904409,310.0
27,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,19.069498,320.0
28,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,19.293611,330.0
29,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,19.58893,340.0
30,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,19.716354,350.0
31,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,19.867421,360.0
32,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,20.198411,370.0
33,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,20.265436,380.0
34,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,20.548174,390.0
35,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,20.803208,400.0
36,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,21.010221,410.0
37,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,21.380137,420.0
38,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,21.297096,430.0
39,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,21.570327,440.0
40,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,21.917487,450.0
41,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,21.964861,460.0
42,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,22.364978,470.0
43,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,22.302686,480.0
44,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,22.558162,490.0
45,2,2,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,2,22.726537,500.0
