n_ejecucion,n_agents_deseado,n_agents_created,agent_vel,X_descargaPos,Z_descargaPos,X_trailerPos,Z_trailerPos,distancia_descarga_trailer,n_basura,t_total_descarga,distancia_minima_agentes
0,25,6,1.0,-70.0,-70.0,70.0,70.0,197.9898987322333,10,15.749816,50.0
1,25,6,1.0,-80.0,-80.0,80.0,80.0,226.27416997969522,10,16.359338,50.0
2,25,7,1.0,-90.0,-90.0,90.0,90.0,254.55844122715712,10,17.707416,50.0
3,25,8,1.0,-100.0,-100.0,100.0,100.0,282.842712474619,10,18.589397,50.0
4,25,9,1.0,-110.0,-110.0,110.0,110.0,311.1269837220809,10,20.023462,50.0
5,25,10,1.0,-120.0,-120.0,120.0,120.0,339.4112549695428,10,21.130028,50.0
6,25,10,1.0,-130.0,-130.0,130.0,130.0,367.6955262170047,10,21.76492,50.0
7,25,11,1.0,-140.0,-140.0,140.0,140.0,395.9797974644666,10,23.343736,50.0
8,25,12,1.0,-150.0,-150.0,150.0,150.0,424.26406871192853,10,24.588684,50.0
9,25,13,1.0,-160.0,-160.0,160.0,160.0,452.54833995939043,10,25.757801,50.0
10,25,14,1.0,-170.0,-170.0,170.0,170.0,480.83261120685233,10,27.146658,50.0
11,25,14,1.0,-180.0,-180.0,180.0,180.0,509.11688245431424,10,28.245516,50.0
12,25,15,1.0,-190.0,-190.0,190.0,190.0,537.4011537017761,10,29.55699,50.0
13,25,16,1.0,-200.0,-200.0,200.0,200.0,565.685424949238,10,30.677614,50.0
14,25,17,1.0,-210.0,-210.0,210.0,210.0,593.9696961966999,10,32.592704,50.0
15,25,17,1.0,-220.0,-220.0,220.0,220.0,622.2539674441618,10,33.34336,50.0
16,25,18,1.0,-230.0,-230.0,230.0,230.0,650.5382386916237,10,34.745707,50.0
17,25,19,1.0,-240.0,-240.0,240.0,240.0,678.8225099390856,10,36.209394,50.0
18,25,20,1.0,-250.0,-250.0,250.0,250.0,707.1067811865476,10,38.188834,50.0
19,25,21,1.0,-260.0,-260.0,260.0,260.0,735.3910524340095,10,39.736767,50.0
20,25,21,1.0,-270.0,-270.0,270.0,270.0,763.6753236814714,10,40.192004,50.0
21,25,22,1.0,-280.0,-280.0,280.0,280.0,791.9595949289333,10,42.309432,50.0
22,25,23,1.0,-295.0,-295.0,295.0,295.0,834.3860018001261,10,44.697672,50.0
23,25,24,1.0,-300.0,-300.0,300.0,300.0,848.5281374238571,10,45.39655,50.0
24,25,25,1.0,-310.0,-310.0,310.0,310.0,876.812408671319,10,50.124198,50.0
25,25,25,1.0,-320.0,-320.0,320.0,320.0,905.0966799187809,10,48.322889,50.0
26,25,25,1.0,-330.0,-330.0,330.0,330.0,933.3809511662428,10,49.62202,50.0
27,25,25,1.0,-340.0,-340.0,340.0,340.0,961.6652224137047,10,50.37327,50.0
28,25,25,1.0,-350.0,-350.0,350.0,350.0,989.9494936611666,10,51.890726,50.0
29,25,25,1.0,-360.0,-360.0,360.0,360.0,1018.2337649086285,10,53.207901,50.0
30,25,25,1.0,-370.0,-370.0,370.0,370.0,1046.5180361560904,10,54.005441,50.0
31,25,25,1.0,-380.0,-380.0,380.0,380.0,1074.8023074035523,10,54.967263,50.0
32,25,25,1.0,-390.0,-390.0,390.0,390.0,1103.0865786510142,10,57.088929,50.0
33,25,25,1.0,-400.0,-400.0,400.0,400.0,1131.370849898476,10,57.575605,50.0
34,25,25,1.0,-410.0,-410.0,410.0,410.0,1159.655121145938,10,58.747407,50.0
35,25,25,1.0,-420.0,-420.0,420.0,420.0,1187.9393923933999,10,59.378962,50.0
36,25,25,1.0,-430.0,-430.0,430.0,430.0,1216.2236636408618,10,60.374177,50.0
37,25,25,1.0,-440.0,-440.0,440.0,440.0,1244.5079348883237,10,61.036011,50.0
38,25,25,1.0,-450.0,-450.0,450.0,450.0,1272.7922061357856,10,62.092579,50.0
39,25,25,1.0,-460.0,-460.0,460.0,460.0,1301.0764773832475,10,63.726902,50.0
40,25,25,1.0,-470.0,-470.0,470.0,470.0,1329.3607486307094,10,64.668741,50.0
41,25,25,1.0,-480.0,-480.0,480.0,480.0,1357.6450198781713,10,65.117826,50.0
42,25,25,1.0,-490.0,-490.0,490.0,490.0,1385.9292911256332,10,66.603023,50.0
43,25,25,1.0,-500.0,-500.0,500.0,500.0,1414.213562373095,10,67.808121,50.0
44,25,25,1.0,-510.0,-510.0,510.0,510.0,1442.497833620557,10,68.610178,50.0
45,25,25,1.0,-520.0,-520.0,520.0,520.0,1470.782104868019,10,69.442681,50.0
46,25,25,1.0,-530.0,-530.0,530.0,530.0,1499.0663761154808,10,70.971043,50.0
47,25,25,1.0,-540.0,-540.0,540.0,540.0,1527.3506473629427,10,71.869326,50.0
48,25,25,1.0,-550.0,-550.0,550.0,550.0,1555.6349186104046,10,72.987138,50.0
49,25,25,1.0,-560.0,-560.0,560.0,560.0,1583.9191898578665,10,74.184107,50.0
50,25,25,1.0,-570.0,-570.0,570.0,570.0,1612.2034611053284,10,75.361579,50.0
