n_ejecucion,n_agents_deseado,n_agents_created,agent_vel,X_descargaPos,Z_descargaPos,X_trailerPos,Z_trailerPos,distancia_descarga_trailer,n_basura,t_total_descarga,distancia_minima_agentes
0,5,5,1.0,-300.0,-250.0,250.0,300.0,777.8174593052023,10,33.88765,50.0
1,7,7,1.0,-300.0,-250.0,250.0,300.0,777.8174593052023,10,34.383728,50.0
2,9,9,1.0,-300.0,-250.0,250.0,300.0,777.8174593052023,10,34.434141,50.0
3,10,10,1.0,-300.0,-250.0,250.0,300.0,777.8174593052023,10,31.235673,50.0
4,11,11,1.0,-300.0,-250.0,250.0,300.0,777.8174593052023,10,31.978578,50.0
5,13,13,1.0,-300.0,-250.0,250.0,300.0,777.8174593052023,10,33.980844,50.0
6,15,15,1.0,-300.0,-250.0,250.0,300.0,777.8174593052023,10,35.819575,50.0
7,17,17,1.0,-300.0,-250.0,250.0,300.0,777.8174593052023,10,37.700201,50.0
8,19,19,1.0,-300.0,-250.0,250.0,300.0,777.8174593052023,10,39.357031,50.0
9,21,21,1.0,-300.0,-250.0,250.0,300.0,777.8174593052023,10,40.812469,50.0
10,23,21,1.0,-300.0,-250.0,250.0,300.0,777.8174593052023,10,41.00409,50.0
11,25,21,1.0,-300.0,-250.0,250.0,300.0,777.8174593052023,10,41.139333,50.0
12,27,21,1.0,-300.0,-250.0,250.0,300.0,777.8174593052023,10,41.826144,50.0
13,29,21,1.0,-300.0,-250.0,250.0,300.0,777.8174593052023,10,40.828085,50.0
14,31,21,1.0,-300.0,-250.0,250.0,300.0,777.8174593052023,10,40.982744,50.0
15,33,21,1.0,-300.0,-250.0,250.0,300.0,777.8174593052023,10,42.296134,50.0
16,35,21,1.0,-300.0,-250.0,250.0,300.0,777.8174593052023,10,41.176359,50.0
